start_id,start_station_name,start_lat,start_lng,count
C32008,Boylston St at Fairfield St,42.348803,-71.082369,1816
C32008,Boylston St at Fairfield St,42.348803822833936,-71.08236908912659,9948
C32008,Boylston St at Fairfield St,42.348804,-71.082369,22950
247,Boylston St at Jersey St,42.344695708662215,-71.09723791480063,683
342,Boylston St at Jersey St,42.344650628878306,-71.09732501226972,102967
B32034,Boylston St at Jersey St,42.34465,-71.097325,757
B32034,Boylston St at Jersey St,42.344650628878306,-71.09732501226972,6524
B32034,Boylston St at Jersey St,42.344651,-71.097325,16761
247,Boylston St at Jersey St (former),42.344695708662215,-71.09723791480063,589
55,Boylston St at Massachusetts Ave,42.347265,-71.088088,39983
55,Boylston St at Massachusetts Ave,42.34740620525209,-71.08678414955648,81452
B32018,Boylston St at Massachusetts Ave,42.347406,-71.086784,24967
B32018,Boylston St at Massachusetts Ave,42.34740620525209,-71.08678414955648,11259
81,Boylston St at Washington St,42.352409,-71.062679,12297
42,Boylston St. at Arlington St.,42.352033,-71.070627,17894
42,Boylston St. at Arlington St.,42.35255006465652,-71.06782078742981,8941
61,Boylston at Fairfield,42.348762,-71.082383,25462
593,Boynton Yards at 101 South Street,42.375447604963405,-71.09117388747109,203
S32050,Boynton Yards at 101 South Street,42.37471,-71.091236,298
S32050,Boynton Yards at 101 South Street,42.375447,-71.091173,265
S32050,Boynton Yards at 101 South Street,42.375447604963405,-71.09117388747109,487
S32050,Boynton Yards at 101 South Street,42.375448,-71.091174,3002
S32050,Boynton Yards at 101 South Street,42.37546,-71.091217,648
A32032,Bremen St at Marion St,42.374106,-71.032763,258
A32032,Bremen St at Marion St,42.374106,-71.032762,91
A32032,Bremen St at Marion St,42.37410622047334,-71.03276252757496,841
A32055,Bremen St at Marion St,42.374106,-71.032763,606
195,Brian P. Murphy Staircase at Child Street,42.37150494100319,-71.07249312120985,245
195,Brian P. Murphy Staircase at Child Street,42.3720597013741,-71.07202649116516,4302
T32016,Bridge Street Neck,42.5281,-70.889711,8
T32016,Bridge Street Neck,42.52810051875824,-70.88971138000488,80
T32016,Bridge Street Neck,42.528101,-70.889711,300
30,Brigham Cir / Huntington Ave,42.334073,-71.105221,11378
30,Brigham Circle - Francis St at Huntington Ave,42.334073,-71.105221,90
30,Brigham Circle - Francis St at Huntington Ave,42.33439781194515,-71.10507935285568,3133
30,Brigham Circle - Francis St at Huntington Ave,42.33462893055976,-71.10407917767589,52350
B32013,Brigham Circle - Francis St at Huntington Ave,42.334628,-71.104079,791
B32013,Brigham Circle - Francis St at Huntington Ave,42.33462893055976,-71.10407917767589,3962
B32013,Brigham Circle - Francis St at Huntington Ave,42.334629,-71.104079,9765
567,Brighton Ave at Linden St,42.3528376,-71.1296752,5732
D32058,Brighton Ave at Linden St,42.352837,-71.129675,542
D32058,Brighton Ave at Linden St,42.3528376,-71.1296752,2419
D32058,Brighton Ave at Linden St,42.352838,-71.129675,10076
175,Brighton Center,42.34894857235593,-71.15027189254761,2156
175,Brighton Center - Washington St at Cambridge St,42.34894857235593,-71.15027189254761,28024
D32028,Brighton Center - Washington St at Cambridge St,42.348948,-71.150271,266
D32028,Brighton Center - Washington St at Cambridge St,42.34894857235593,-71.15027189254761,1697
D32028,Brighton Center - Washington St at Cambridge St,42.348949,-71.150272,4814
15,Brighton Mills - 370 Western Ave,42.3615457081725,-71.13776206970215,32690
15,Brighton Mills - 370 Western Ave,42.361667,-71.13802,22
A32005,Brighton Mills - 370 Western Ave,42.361545,-71.137762,309
A32005,Brighton Mills - 370 Western Ave,42.3615457081725,-71.13776206970215,1975
A32005,Brighton Mills - 370 Western Ave,42.361546,-71.137762,5914
583,Broad Canal Way at Third Street,42.36304549626695,-71.08287078916874,2912
M32082,Broad Canal Way at Third Street,42.363045,-71.082871,8449
M32082,Broad Canal Way at Third Street,42.363045,-71.08287,621
M32082,Broad Canal Way at Third Street,42.36304549626695,-71.08287078916874,3760
460,Broad St at Central St,42.35849449039304,-71.05426469875965,11590
A32047,Broad St at Central St,42.358494,-71.054265,4598
A32047,Broad St at Central St,42.358494,-71.054264,116
A32047,Broad St at Central St,42.35849449039304,-71.05426469875965,987
498,Broadway Opposite Norwood Ave  (Temp Winter Station),42.396764,-71.102376,371
194,Broadway St at Mt Pleasant St,42.386141411639564,-71.07828140258789,19110
S32014,Broadway St at Mt Pleasant St,42.386141,-71.078281,3624
S32014,Broadway St at Mt Pleasant St,42.386141411639564,-71.07828140258789,1505
307,Broadway T Stop,42.3428,-71.05751,38
366,Broadway T Stop,42.34278116224413,-71.05747275072645,9827
366,Broadway T Stop,42.343048583900966,-71.05803430091328,423
C32053,Broadway T Stop,42.343048,-71.058034,271
C32053,Broadway T Stop,42.343048583900966,-71.05803430091328,1882
C32053,Broadway T Stop,42.343049,-71.058034,4489
307,Broadway T Stop (former),42.3428,-71.05751,311
